numcode,country,num_articles1990,num_articles1991,num_articles1992,num_articles1993,num_articles1994,num_articles1995,num_articles1996,num_articles1997,num_articles1998,num_articles1999,num_articles2000,num_articles2001,num_articles2002,num_articles2003,num_articles2004,num_articles2005,num_articles2006,num_articles2007,num_articles2008,num_articles2009,num_articles2010,num_articles2011
788,Tunisia,37,322,293,288,339,347,357,484,490,591,632,730,828,975,932,1404,1735,2113,2469,2903,3124,2923
792,Turkey,155,1395,1711,1968,2344,3090,3928,4585,5386,6196,6424,7807,10305,12413,12906,16756,18979,22040,23259,25581,26715,23731
795,Turkmenistan,0,5,11,28,17,16,16,12,9,5,14,10,10,6,5,7,6,7,4,6,10,13
798,Tuvalu,0,2,0,1,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0
800,Uganda,12,55,62,80,91,101,116,136,165,190,191,202,187,241,286,358,393,540,576,717,843,718
804,Ukraine,96,402,1747,3856,3985,4188,4240,4300,4462,4623,4454,4378,4303,3986,3650,4408,4417,4689,5564,5147,5141,4775
826,United Kingdom,9527,74037,78900,82912,87558,96633,98958,100894,104488,106234,110351,106605,107559,108678,97913,117439,123181,128181,132402,137350,139307,126192
840,United States,36584,325421,331452,353697,363880,378758,380841,382322,378778,385642,393807,387777,401428,413957,387463,449214,463618,472098,479891,487340,476284,432557
858,Uruguay,17,112,136,160,156,204,244,293,330,356,366,369,410,433,431,498,517,570,705,722,738,742
860,Uzbekistan,28,97,169,445,333,423,353,387,348,344,357,342,373,351,333,382,342,405,387,434,430,392
548,Vanuatu,1,6,14,5,8,6,6,7,3,10,12,7,10,8,9,19,12,10,14,20,15,23
862,Venezuela,103,587,642,789,739,762,950,1012,1110,1103,1243,1156,1258,1259,1021,1315,1388,1429,1708,1506,1462,983
704,Viet Nam,25,134,164,148,151,224,236,260,254,290,357,394,410,543,437,642,716,877,1068,1134,1362,1342
876,Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
732,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
887,Yemen,9,28,23,22,14,26,30,31,33,32,43,49,34,31,49,50,54,69,85,126,122,149
894,Zambia,8,86,84,80,77,100,66,99,97,81,80,98,88,97,80,147,152,181,204,205,244,232
716,Zimbabwe,39,228,270,241,243,231,254,258,263,258,262,253,269,250,185,259,238,280,263,244,299,250
784,#N/A,5,116,146,203,216,266,298,316,332,314,365,438,440,539,529,665,729,788,970,1162,1199,1185
